RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
RC3H2	562	458	577	498	535	494
RCAN1	302	223	185	2128	1944	1827
RCAN2	6	7	10	8	5	16
RCAN3	113	80	107	114	79	54
RCBTB1	63	46	106	45	116	54
RCBTB2	14	12	24	40	30	24
RCC1	602	533	533	564	482	530
RCC1L	246	158	182	231	311	197
RCC2	6	4	10	12	12	15
RCCD1	186	111	117	198	210	195
RCE1	23	22	10	21	9	8
RCHY1	149	103	111	221	186	168
RCL1	344	228	287	394	335	345
RCN1	106	68	93	158	138	177
RCN2	379	390	417	403	460	404
RCN3	3	0	0	0	4	0
RCOR1	206	196	232	204	207	176
RCOR2	12	14	13	13	9	31
RCOR3	319	228	235	399	247	294
RCSD1	0	0	0	0	0	2
RCVRN	0	0	0	0	0	0
RD3	0	0	0	0	0	0
RD3L	0	0	0	0	0	0
RDH10	87	81	67	92	76	50
RDH11	684	450	540	612	373	618
RDH12	8	0	0	0	0	0
RDH13	0	0	0	0	0	0
RDH14	307	224	255	323	228	297
RDH16	0	0	3	0	0	0
RDH5	22	4	1	14	23	15
RDH8	0	0	0	0	0	0
RDM1	0	0	1	0	0	0
RDX	617	432	474	561	689	546
REC114	0	0	0	2	0	0
REC8	0	0	0	0	0	0
RECK	0	1	5	10	12	0
RECQL	90	124	146	109	116	135
RECQL4	88	56	47	77	47	51
RECQL5	83	62	59	88	98	91
REELD1	4	0	0	0	0	0
REEP1	60	72	80	102	47	58
REEP2	37	34	34	44	19	17
REEP3	288	330	305	276	258	299
REEP4	57	37	18	42	45	30
REEP5	786	714	630	718	711	579
REEP6	14	3	14	2	0	8
REG1A	0	0	0	0	0	0
REG1B	0	0	0	0	0	0
REG3A	0	0	0	0	0	0
REG3G	0	0	0	0	0	0
REG4	0	0	0	0	0	0
REL	310	237	222	367	323	337
RELA	365	196	256	219	364	233
RELB	32	2	15	14	11	38
RELCH	67	36	95	66	88	101
RELL1	179	141	101	179	103	130
RELL2	5	6	2	20	21	20
RELN	0	0	0	0	0	0
RELT	110	86	135	138	159	107
REM1	0	0	0	0	0	0
REM2	16	5	7	7	4	14
REN	0	0	0	0	0	0
RENBP	2	3	0	10	6	5
REP15	1	0	3	4	0	10
REPIN1	269	205	261	298	270	267
REPS1	302	266	215	316	186	210
REPS2	23	1	12	3	0	3
RER1	349	361	280	409	376	317
RERE	739	505	704	469	524	497
RERG	26	12	23	7	0	12
RERGL	0	0	0	0	0	0
RESF1	66	57	99	56	97	33
RESP18	0	0	0	0	0	0
REST	1099	733	1080	1074	1161	1002
RET	5	0	8	0	5	10
RETN	0	0	0	0	0	0
RETNLB	0	0	0	0	0	0
RETREG1	111	74	105	70	122	116
RETREG2	95	38	55	50	49	61
RETREG3	128	106	118	150	135	143
RETSAT	110	77	64	93	91	97
REV1	367	289	229	373	323	419
REV3L	1199	975	1104	1641	1376	1384
REX1BD	62	65	61	91	99	56
REXO1	26	25	9	20	18	26
REXO2	380	298	510	477	402	495
REXO4	0	0	0	0	0	0
REXO5	92	73	68	150	138	68
RFC1	650	472	589	708	742	707
RFC2	181	117	121	225	147	236
RFC3	617	616	668	757	566	759
RFC4	203	145	114	194	157	139
RFC5	432	349	393	528	400	400
RFESD	72	48	47	59	84	54
RFFL	133	125	130	119	101	169
RFK	418	296	327	375	326	284
RFLNA	4	0	6	4	0	0
RFLNB	0	5	0	0	0	1
RFNG	97	73	61	57	69	46
RFPL1	0	0	0	0	0	0
RFPL2	0	4	0	8	0	3
RFPL3	0	0	0	0	0	0
RFPL4A	0	0	0	0	4	0
RFPL4AL1	6	0	0	0	0	0
RFPL4B	0	0	0	1	0	0
RFT1	146	89	92	103	125	63
RFTN1	59	55	65	63	118	70
RFTN2	0	0	0	0	0	1
RFWD3	605	488	490	476	587	579
RFX1	0	0	0	0	0	0
RFX2	11	9	1	13	0	1
RFX3	58	60	59	45	71	38
RFX4	1	4	10	1	0	4
RFX5	230	163	165	182	267	167
RFX6	21	4	18	0	10	6
RFX7	194	181	185	255	258	254
RFX8	0	4	0	0	0	0
RFXANK	13	16	15	27	3	15
RFXAP	123	110	155	158	124	128
RGCC	21	9	47	67	45	23
RGL1	91	77	53	78	14	43
RGL2	0	0	0	0	0	0
RGL3	0	1	0	2	0	0
RGL4	0	0	0	0	0	0
RGMA	135	72	106	73	76	57
RGMB	199	132	121	300	289	283
RGN	0	0	0	0	0	0
RGP1	405	266	326	338	304	273
RGPD1	0	0	0	0	0	0
RGPD2	0	0	0	0	0	0
RGPD3	0	0	0	0	0	0
RGPD4	0	0	0	0	0	0
RGPD5	0	0	0	0	0	0
RGPD6	0	0	0	0	0	0
RGPD8	15	6	17	20	16	17
RGR	0	0	0	0	0	0
RGS1	0	0	0	0	0	0
RGS10	146	102	96	136	207	113
RGS11	0	0	0	0	0	0
RGS12	26	5	10	6	11	14
RGS13	0	0	0	0	0	0
RGS14	26	9	16	11	28	12
RGS16	396	339	333	745	958	717
RGS17	25	7	19	29	40	30
RGS18	0	0	0	0	0	0
RGS19	118	65	110	110	58	67
RGS2	115	93	75	474	556	446
RGS20	5	16	13	6	10	17
RGS21	0	0	0	0	0	0
RGS22	0	0	1	4	0	0
RGS3	49	51	28	25	46	25
RGS4	0	0	0	7	0	2
RGS5	14	7	10	26	39	19
RGS6	0	0	0	0	0	0
RGS7	111	102	105	158	157	129
RGS7BP	0	0	0	0	0	0
RGS8	0	0	0	0	0	0
RGS9	0	0	0	0	0	0
RGS9BP	10	0	5	0	19	0
RGSL1	0	0	0	0	0	0
RHAG	0	0	0	0	0	0
RHBDD1	102	48	65	66	123	73
RHBDD2	47	79	70	92	85	40
RHBDD3	81	77	87	78	56	45
RHBDF1	30	19	27	41	46	37
RHBDF2	34	7	9	34	59	28
RHBDL1	10	9	1	0	13	0
RHBDL2	0	1	0	0	0	0
RHBDL3	71	45	61	44	51	38
RHBG	0	0	0	0	0	0
RHCE	0	1	0	0	0	0
RHCG	0	0	0	0	0	0
RHD	0	0	0	0	0	0
RHEB	690	473	529	578	634	500
RHEBL1	11	13	5	54	105	34
RHEX	0	0	0	0	0	0
RHNO1	285	239	224	254	216	247
RHO	0	0	0	0	0	0
RHOA	1975	1642	1591	1667	1579	1534
RHOB	195	141	213	175	238	174
RHOBTB1	90	56	49	59	65	39
RHOBTB2	32	25	36	58	53	40
RHOBTB3	760	644	761	967	820	846
RHOC	45	68	75	54	61	37
RHOD	0	0	0	0	0	0
RHOF	11	8	12	2	8	4
RHOG	223	133	127	159	214	159
RHOH	3	0	0	15	5	5
RHOJ	0	0	0	0	0	0
RHOQ	411	343	317	402	506	371
RHOT1	358	290	351	321	293	265
RHOT2	208	162	141	180	230	173
RHOU	2	1	0	0	0	0
RHOV	101	106	49	88	28	43
RHOXF1	0	0	0	0	0	0
RHOXF2	0	0	0	0	0	0
RHOXF2B	0	0	0	0	0	0
RHPN1	3	0	0	14	6	5
RHPN2	282	210	242	307	217	225
RIBC1	8	21	14	22	7	18
RIBC2	8	1	0	2	0	5
RIC1	64	55	71	46	98	55
RIC3	29	25	35	52	26	16
RIC8A	173	191	173	160	212	199
RIC8B	458	320	413	428	322	337
RICTOR	275	248	276	277	204	236
RIDA	55	51	71	58	50	45
RIF1	420	372	538	490	553	527
RIIAD1	0	0	0	0	0	0
RILP	0	0	0	0	0	0
RILPL1	67	72	36	37	15	28
RILPL2	68	53	69	66	78	94
RIMBP2	0	0	0	0	0	0
RIMBP3	0	0	0	0	0	0
RIMBP3B	0	0	0	0	0	0
RIMBP3C	0	0	0	0	0	0
RIMKLA	178	107	168	130	115	95
RIMKLB	167	110	126	189	206	184
RIMS1	0	4	0	0	0	0
RIMS2	36	56	88	91	58	53
RIMS3	5	1	6	14	8	4
RIMS4	89	27	56	66	43	66
RIN1	0	0	0	0	1	3
RIN2	0	0	0	0	2	0
RIN3	64	38	24	54	62	71
RING1	0	0	0	0	0	0
RINL	0	0	0	0	0	0
RINT1	307	266	257	357	283	277
RIOK1	783	567	712	1000	924	806
RIOK2	304	294	277	416	492	470
RIOK3	256	168	192	310	360	230
RIOX1	235	212	158	211	224	215
RIOX2	167	142	153	165	177	184
RIPK1	122	66	112	109	139	106
RIPK2	171	166	171	272	236	218
RIPK3	0	0	0	0	0	0
RIPK4	93	79	88	110	202	160
RIPOR1	110	74	65	117	37	88
RIPOR2	7	4	5	4	7	0
RIPOR3	0	0	0	0	0	0
RIPPLY1	0	0	0	0	0	4
RIPPLY2	12	16	6	20	7	28
RIPPLY3	13	25	12	28	10	12
RIT1	127	84	89	128	89	138
RIT2	5	6	1	1	0	4
RITA1	203	196	157	133	150	199
RLBP1	0	0	0	0	0	0
RLF	212	152	201	319	303	258
RLIM	1161	834	1183	1133	1348	1019
RLN1	5	0	0	1	5	5
RLN2	5	1	10	11	8	19
RLN3	0	0	0	0	0	0
RMC1	167	110	123	190	192	147
RMDN1	239	158	240	262	293	219
RMDN2	68	36	52	70	47	58
RMDN3	234	181	161	301	245	237
RMI1	165	108	141	198	128	158
RMI2	364	338	371	417	332	387
RMND1	161	115	111	139	114	171
RMND5A	230	202	228	224	283	229
RMND5B	238	142	139	196	168	216
RNASE1	0	0	0	0	0	0
RNASE10	0	0	0	0	0	0
RNASE11	0	0	0	0	0	0
RNASE12	0	0	0	0	0	0
RNASE13	0	0	0	0	0	0
RNASE2	0	0	0	0	0	0
RNASE3	0	0	0	0	0	0
RNASE4	7	14	5	25	14	26
RNASE6	0	0	0	0	0	4
RNASE7	0	0	0	0	0	0
RNASE8	0	0	0	0	0	0
RNASE9	0	0	0	0	0	0
RNASEH1	754	480	591	823	722	721
RNASEH2A	182	139	195	225	278	171
RNASEH2B	471	394	418	514	585	484
RNASEH2C	164	150	173	148	161	166
RNASEK	182	181	135	197	211	148
RNASEK-C17orf49	73	84	47	68	49	49
RNASEL	27	31	25	47	52	43
RNASET2	185	155	161	108	109	110
RND1	15	23	11	28	14	24
RND2	79	63	55	39	84	28
RND3	603	444	401	896	894	720
RNF10	512	491	509	413	432	440
RNF103	100	124	114	128	129	85
RNF103-CHMP3	18	6	37	17	12	10
RNF11	527	477	534	417	436	418
RNF111	339	238	275	358	311	331
RNF112	0	0	0	0	0	0
RNF113A	135	89	91	196	359	204
RNF113B	0	0	0	0	0	0
RNF114	533	522	468	533	577	605
RNF115	375	278	328	371	346	329
RNF121	119	108	148	189	194	122
RNF122	1	2	0	1	12	8
RNF123	32	29	37	42	63	38
RNF125	80	39	62	63	88	88
RNF126	613	442	442	493	417	496
RNF128	43	24	31	27	34	23
RNF13	234	146	204	245	233	185
RNF130	404	250	363	370	262	286
RNF133	0	0	0	0	0	0
RNF135	44	12	42	39	64	13
RNF138	514	343	488	453	494	448
RNF139	280	238	240	292	301	346
RNF14	304	334	291	416	418	357
RNF141	137	93	108	129	76	101
RNF144A	50	24	29	29	62	18
RNF144B	38	14	27	95	102	63
RNF145	342	292	308	322	251	257
RNF146	161	104	101	98	111	107
RNF148	0	4	0	1	0	0
RNF149	375	279	267	392	202	295
RNF150	202	87	118	126	193	139
RNF151	0	0	0	0	0	0
RNF152	39	19	22	22	34	70
RNF157	80	49	51	55	46	58
RNF165	37	25	38	36	39	32
RNF166	266	176	174	289	259	248
RNF167	148	82	91	128	37	76
RNF168	384	330	364	473	451	530
RNF169	127	86	102	150	197	165
RNF17	6	2	1	0	0	0
RNF170	55	75	70	51	88	94
RNF175	0	0	0	0	7	0
RNF180	11	5	15	5	16	6
RNF181	80	88	58	130	187	132
RNF182	119	57	87	71	75	100
RNF183	0	0	6	0	0	0
RNF185	102	62	53	91	85	111
RNF186	0	0	0	0	0	0
RNF187	0	0	0	2	0	0
RNF19A	42	78	66	147	121	101
RNF19B	61	66	61	55	81	87
RNF2	236	178	169	304	173	230
RNF20	81	124	84	120	104	102
RNF207	7	6	15	13	3	4
RNF208	17	8	3	13	2	6
RNF212	0	0	0	0	0	3
RNF212B	0	0	0	0	0	0
RNF213	127	63	94	87	124	104
RNF214	98	54	42	71	76	80
RNF215	7	10	3	8	0	2
RNF216	361	315	335	443	393	377
RNF217	406	305	298	283	315	295
RNF220	722	473	577	554	625	566
RNF222	15	11	19	33	4	6
RNF223	0	0	0	0	0	0
RNF224	0	0	0	0	0	0
RNF227	28	22	37	29	62	15
RNF24	108	74	95	104	137	126
RNF25	8	1	11	3	1	1
RNF26	296	250	222	208	244	241
RNF31	0	6	0	1	4	7
RNF32	47	49	29	51	19	25
RNF34	405	325	284	370	259	246
RNF38	105	120	99	69	64	55
RNF39	0	0	0	0	0	0
RNF4	442	337	413	369	419	358
RNF40	343	206	254	332	341	358
RNF41	336	377	329	359	427	333
RNF43	133	143	134	81	135	129
RNF44	244	172	137	167	182	110
RNF5	0	0	0	0	0	0
RNF6	228	210	190	209	301	161
RNF7	228	133	234	249	232	249
RNF8	590	513	625	606	479	466
RNFT1	92	36	81	162	75	64
RNFT2	227	131	209	204	211	135
RNGTT	224	173	240	240	213	228
RNH1	0	0	0	0	0	0
RNLS	0	0	0	0	3	0
RNMT	258	193	246	293	123	207
RNPC3	233	214	226	195	231	250
RNPEP	173	147	93	99	66	135
RNPEPL1	11	8	10	4	2	33
RNPS1	1310	953	1267	1080	1135	1109
RO60	786	587	703	801	658	677
ROBO1	812	726	984	1247	1322	1378
ROBO2	26	33	27	20	30	9
ROBO3	25	0	1	18	21	21
ROBO4	0	0	0	0	0	0
ROCK1	154	109	178	163	132	94
ROCK2	357	282	376	350	366	394
ROGDI	18	15	4	34	11	23
ROM1	3	2	0	3	0	0
ROMO1	860	665	740	772	842	627
ROPN1	0	0	0	0	0	0
ROPN1B	0	0	0	0	0	0
ROPN1L	2	0	1	0	5	1
ROR1	258	127	136	221	192	167
ROR2	67	89	85	108	94	106
RORA	388	251	367	385	316	368
RORB	0	0	0	0	0	0
RORC	7	0	0	5	0	3
ROS1	0	0	0	0	0	0
RP1	0	0	0	1	0	0
RP1L1	0	0	0	0	0	0
RP2	51	42	91	69	68	94
RP9	342	271	242	340	453	304
RPA1	1438	869	963	1031	1114	1101
RPA2	666	536	609	725	675	617
RPA3	181	96	140	194	235	180
RPA4	8	4	9	1	3	0
RPAIN	584	503	517	700	639	538
RPAP1	66	41	75	38	56	48
RPAP2	209	172	167	191	204	151
RPAP3	118	80	97	117	117	121
RPE	153	88	140	161	93	188
RPE65	0	0	5	0	0	0
RPEL1	3	1	5	3	12	2
RPF1	719	436	659	579	594	618
RPF2	625	547	581	684	686	622
RPGR	115	69	110	201	204	142
RPGRIP1	2	0	3	4	3	0
RPGRIP1L	197	186	260	210	243	193
RPH3A	0	0	0	0	0	0
RPH3AL	5	0	0	2	0	0
RPIA	111	66	81	62	68	58
RPL10	929	902	902	1034	1195	967
RPL10A	481	354	331	783	837	851
RPL10L	0	0	0	0	0	0
RPL11	457	394	402	386	360	395
RPL12	38	41	14	28	15	23
RPL13	1069	877	952	904	1123	928
RPL13A	920	717	755	721	803	721
RPL14	615	536	468	447	438	477
RPL15	3405	2861	2947	3072	3299	2767
RPL17	12	16	12	33	23	6
RPL17-C18orf32	257	282	252	310	365	241
RPL18	1589	1209	1042	1406	1222	1198
RPL18A	6	0	0	4	3	4
RPL19	1298	1052	1130	1051	1025	1174
RPL21	22	9	26	27	20	40
RPL22	585	450	523	500	456	462
RPL22L1	219	215	122	616	556	638
RPL23	7081	5888	5918	6627	6661	5600
RPL23A	208	229	233	201	173	129
RPL24	102	144	148	124	154	136
RPL26	1582	1212	1150	1556	1771	1542
RPL26L1	342	300	299	307	289	328
RPL27	1621	1456	1380	1426	1589	1224
RPL27A	716	705	613	694	544	568
RPL28	286	207	265	195	179	119
RPL29	520	506	393	545	467	493
RPL3	1	11	11	26	34	11
RPL30	1573	1200	1185	1381	1634	1379
RPL31	759	543	696	636	621	606
RPL32	3027	2144	1921	2401	2384	2180
RPL34	2802	2169	2345	2402	2345	2338
RPL35	701	550	562	649	673	693
RPL35A	4152	3006	3287	3374	3528	2988
RPL36	234	214	182	176	221	190
RPL36A	384	289	356	378	600	315
RPL36A-HNRNPH2	6	10	8	8	5	1
RPL36AL	619	536	667	673	639	633
RPL37	721	622	475	588	560	499
RPL37A	2822	2114	2106	2256	2052	2054
RPL38	3611	2876	2774	2940	2731	2717
RPL39	1535	1144	1218	1407	1311	1364
RPL39L	67	62	49	46	44	23
RPL3L	0	1	1	0	0	0
RPL4	1631	1221	1325	1187	1430	1330
RPL41	454	306	250	308	291	294
RPL5	4561	3774	3764	4429	4233	4126
RPL6	5	10	2	4	0	10
RPL7	30	47	44	33	17	34
RPL7A	0	5	6	0	10	0
RPL7L1	1914	1634	1511	1910	2164	1661
RPL8	1009	645	641	753	817	687
RPL9	227	159	198	199	214	175
RPLP0	734	643	524	753	896	723
RPLP1	300	252	242	368	237	263
RPLP2	500	373	484	382	430	341
RPN1	83	74	57	219	165	193
RPN2	280	175	267	493	423	384
RPP14	612	419	543	700	732	626
RPP21	0	0	0	0	0	0
RPP25	37	33	26	31	76	40
RPP25L	237	170	185	187	234	222
RPP30	251	225	222	223	232	194
RPP38	307	257	263	455	397	460
RPP40	169	77	130	163	164	103
RPRD1A	402	289	393	332	346	298
RPRD1B	320	215	350	350	398	383
RPRD2	481	426	433	524	495	506
RPRM	354	305	242	378	330	275
RPRML	237	105	193	125	176	223
RPS10	87	101	61	126	65	86
RPS10-NUDT3	249	180	250	191	219	167
RPS11	355	309	323	402	370	311
RPS12	32	43	17	51	28	38
RPS13	30	32	31	32	40	35
RPS14	2527	1754	1915	1776	1852	1621
RPS15	617	452	543	532	498	531
RPS15A	425	282	317	309	394	291
RPS16	6733	4734	4911	5443	5502	5578
RPS17	0	0	0	0	0	0
RPS18	0	0	0	0	0	0
RPS19	762	691	591	557	598	628
RPS19BP1	305	198	196	320	138	291
RPS2	2808	2236	2062	2450	2479	2291
RPS20	643	554	601	597	769	658
RPS21	968	838	860	713	726	741
RPS23	2384	2026	2037	2132	2039	2221
RPS24	1703	1304	1292	1395	1508	1419
RPS25	0	0	0	0	1	0
RPS26	5	1	1	0	2	12
RPS27	24	6	17	10	1	10
RPS27A	1028	826	944	891	888	881
RPS27L	281	266	272	198	186	184
RPS28	260	185	219	156	224	160
RPS29	1624	1062	1342	1336	1309	1380
RPS3	487	332	437	384	534	371
RPS3A	493	387	413	417	495	369
RPS4X	3534	2738	2958	3145	2898	2789
RPS4Y1	0	0	0	0	0	0
RPS5	725	591	530	555	724	558
RPS6	3233	2367	2474	2983	2530	2631
RPS6KA1	0	0	7	0	0	0
RPS6KA2	18	28	22	43	35	12
RPS6KA3	294	284	252	360	350	314
RPS6KA4	28	24	22	16	26	15
RPS6KA5	449	341	457	574	553	486
RPS6KA6	35	13	9	16	34	17
RPS6KB1	553	474	493	615	548	588
RPS6KB2	54	45	31	45	89	41
RPS6KC1	46	39	61	40	88	32
RPS6KL1	17	15	5	17	20	18
RPS7	52	26	72	36	56	64
RPS8	3224	2475	2577	2813	2803	2462
RPS9	0	0	0	0	0	3
RPSA	54	39	42	20	63	42
RPSAP58	4266	3303	3094	4237	3836	3973
RPTN	0	0	0	0	0	0
RPTOR	332	193	293	230	297	322
RPUSD1	166	100	129	110	126	127
RPUSD2	277	249	212	272	226	304
RPUSD3	397	305	307	328	305	309
RPUSD4	159	91	141	171	102	122
RRAD	0	8	0	0	0	0
RRAGA	523	420	366	504	346	410
RRAGB	9	0	1	20	3	29
RRAGC	675	680	705	706	930	665
RRAGD	337	269	329	315	336	291
RRAS	6	7	7	0	0	3
RRAS2	284	248	324	322	334	305
RRBP1	36	37	50	87	50	41
RREB1	102	94	72	122	130	106
RRH	11	4	5	9	0	3
RRM1	1047	1027	1186	1414	1342	1230
RRM2	1163	1011	1179	1525	1588	1409
RRM2B	157	145	121	218	194	143
RRN3	0	0	0	0	0	0
RRP1	387	296	393	318	413	350
RRP12	228	148	135	324	255	280
RRP15	445	412	437	489	521	498
RRP1B	1203	875	936	1066	956	1081
RRP36	575	521	577	600	433	518
RRP7A	574	483	575	523	536	431
RRP8	207	126	148	202	224	183
RRP9	87	37	24	31	69	60
RRS1	270	220	206	273	303	239
RS1	0	0	0	0	0	0
RSAD1	104	55	101	66	68	57
RSAD2	0	0	0	0	0	0
RSBN1	316	243	315	290	274	290
RSBN1L	241	196	172	248	220	199
RSC1A1	32	57	36	53	47	31
RSF1	185	137	197	164	149	158
RSKR	117	162	136	125	110	98
RSL1D1	1990	1483	1609	1839	1832	1407
RSL24D1	650	573	583	986	1087	894
RSPH1	7	0	1	7	2	0
RSPH10B	0	0	0	0	0	2
RSPH10B2	5	0	0	0	0	0
RSPH14	5	12	1	1	0	4
RSPH3	51	48	66	68	59	55
RSPH4A	0	0	1	0	0	0
RSPH6A	0	0	0	0	0	0
RSPH9	0	0	0	0	0	0
RSPO1	0	0	0	0	0	0
RSPO2	6	11	5	3	15	5
RSPO3	3	8	0	0	0	0
RSPO4	7	2	0	3	7	0
RSPRY1	276	230	189	258	240	218
RSRC1	242	257	286	310	297	340
RSRC2	1457	1042	1351	1908	1929	1612
RSRP1	612	465	512	510	481	514
RSU1	129	174	159	143	131	155
RTBDN	0	0	0	0	0	0
RTCA	205	199	208	228	262	218
RTCB	372	303	331	306	229	274
RTEL1	6	21	29	20	15	17
RTEL1-TNFRSF6B	18	26	11	34	59	28
RTF1	223	194	216	217	191	211
RTF2	280	219	206	252	302	270
RTKN	62	28	65	35	57	37
RTKN2	160	168	201	139	191	169
RTL1	0	0	0	0	0	0
RTL10	235	248	253	233	303	208
RTL3	0	0	0	0	0	0
RTL4	0	0	0	0	0	0
RTL5	15	17	17	17	23	12
RTL6	425	335	331	367	367	367
RTL8A	838	598	577	743	715	646
RTL8B	197	131	153	129	139	97
RTL8C	275	211	150	256	271	183
RTL9	0	0	0	2	0	0
RTN1	23	26	19	4	14	3
RTN2	13	3	5	10	10	7
RTN3	380	287	342	368	305	263
RTN4	806	670	708	893	847	667
RTN4IP1	48	39	33	41	60	74
RTN4R	98	75	87	75	73	64
RTN4RL1	15	7	6	8	11	1
RTN4RL2	15	11	21	21	10	17
RTP1	0	0	0	8	0	0
RTP2	0	0	0	0	0	0
RTP3	0	0	0	0	0	0
RTP4	0	0	0	0	0	0
RTP5	0	0	0	0	0	0
RTRAF	469	456	401	424	657	518
RTTN	197	181	183	249	251	217
RUBCN	188	150	154	162	117	112
RUBCNL	2	0	2	0	0	11
RUFY1	5	4	2	0	2	3
RUFY2	315	267	304	342	455	311
RUFY3	470	344	448	423	486	397
RUFY4	0	0	0	0	0	0
RUNDC1	343	234	343	362	393	340
RUNDC3A	10	10	0	9	1	1
RUNDC3B	64	30	51	71	57	64
RUNX1	237	171	206	226	182	216
RUNX1T1	202	146	129	256	174	239
RUNX2	41	65	81	55	70	42
RUNX3	242	186	219	185	156	217
RUSC1	174	130	99	113	165	103
RUSC2	20	10	8	15	35	16
RUSF1	121	66	70	115	89	77
RUVBL1	418	342	382	418	365	351
RUVBL2	238	152	164	194	122	128
RWDD1	506	364	451	482	424	479
RWDD2A	76	78	81	116	125	146
RWDD2B	293	171	201	324	375	310
RWDD3	107	162	110	129	136	101
RWDD4	34	62	63	60	44	84
RXFP1	4	0	0	0	1	2
RXFP2	0	0	0	0	0	0
RXFP3	0	0	0	0	0	0
RXFP4	0	0	0	0	0	0
RXRA	120	89	101	56	76	56
RXRB	0	0	0	0	0	0
RXRG	0	0	0	0	0	0
RXYLT1	536	375	472	511	450	345
RYBP	157	162	114	220	176	197
RYK	194	152	191	180	176	170
RYR1	9	11	0	5	0	2
RYR2	27	33	24	34	5	17
RYR3	0	0	2	0	0	0
S100A1	0	0	0	0	0	0
S100A10	238	221	240	137	163	158
S100A11	52	57	36	41	51	27
S100A12	0	0	0	0	0	0
S100A13	31	52	18	5	31	13
S100A14	0	0	0	1	0	0
S100A16	1	0	0	0	0	0
S100A2	0	0	1	2	4	0
S100A3	0	0	0	0	0	0
S100A4	2	7	4	2	2	2
S100A5	0	0	0	0	0	0
S100A6	0	0	0	0	0	0
S100A7	0	0	0	0	0	0
S100A7A	0	0	0	0	0	0
S100A8	0	0	0	0	0	0
S100A9	0	0	0	0	0	0
S100B	0	0	0	2	0	0
S100G	0	0	0	0	0	0
S100P	0	0	0	18	0	6
S100PBP	263	155	310	208	302	229
S100Z	0	3	0	0	0	0
S1PR1	34	22	36	13	9	20
S1PR2	67	12	31	38	14	36
S1PR3	29	44	29	24	62	17
S1PR4	0	0	0	0	0	0
S1PR5	5	0	0	0	0	0
SAA1	0	0	0	0	0	0
SAA2	0	0	0	0	0	0
SAA2-SAA4	0	0	0	0	0	0
SAA4	0	0	0	0	0	0
SAAL1	164	119	114	182	168	222
SAC3D1	389	329	358	332	379	309
SACM1L	311	270	354	360	314	317
SACS	239	175	276	217	187	204
SAE1	676	443	626	690	765	743
SAFB	339	215	259	246	205	187
SAFB2	237	212	266	158	158	144
SAG	0	0	0	0	0	0
SAGE1	0	0	0	0	0	0
SALL1	183	124	133	144	129	94
SALL2	333	304	280	214	167	210
SALL3	0	0	0	0	0	0
SALL4	0	0	0	0	0	2
SAMD1	0	0	0	0	0	0
SAMD10	43	27	48	24	26	35
SAMD11	545	396	454	480	572	430
SAMD12	36	30	56	34	44	54
SAMD13	9	13	2	18	17	4
SAMD14	0	0	1	0	2	0
SAMD15	6	15	0	0	0	25
SAMD3	5	2	5	0	0	0
SAMD4A	57	13	44	57	43	50
SAMD4B	659	639	649	543	400	544
SAMD5	86	51	65	83	95	80
SAMD7	0	0	0	0	0	0
SAMD8	238	125	209	235	200	165
SAMD9	50	38	30	13	38	31
SAMD9L	0	0	0	0	0	0
SAMHD1	218	178	207	235	280	212
SAMM50	175	149	169	215	206	231
SAMSN1	0	0	0	0	0	0
SANBR	167	163	168	188	211	123
SAP130	138	109	97	163	142	145
SAP18	665	473	569	473	698	565
SAP25	3	0	0	1	0	2
SAP30	138	98	101	105	76	76
SAP30BP	382	269	286	371	361	336
SAP30L	237	151	185	147	161	137
SAPCD1	0	0	0	0	0	0
SAPCD2	459	389	314	282	275	212
SAR1A	642	497	463	476	679	514
SAR1B	289	240	214	337	267	241
SARAF	190	299	192	290	385	316
SARDH	0	0	0	0	0	0
SARM1	224	214	187	159	164	104
SARNP	506	350	506	631	571	580
SARS1	141	78	123	203	284	173
SARS2	0	0	0	0	3	7
SART1	92	61	81	79	51	78
SART3	696	416	582	559	666	524
SASH1	194	159	174	220	179	214
SASH3	0	0	0	0	0	0
SASS6	85	106	112	164	138	121
SAT1	3356	2807	2940	8224	8280	7662
SAT2	93	94	114	117	98	73
SATB1	612	458	505	466	452	429
SATB2	291	323	256	254	311	262
SATL1	0	0	0	0	0	0
SAV1	330	280	267	391	408	316
SAXO1	0	0	1	0	0	0
SAXO2	33	36	23	27	28	7
SAYSD1	256	255	226	220	178	171
SBDS	405	395	370	551	514	474
SBF1	265	201	243	196	250	216
SBF2	253	184	259	229	363	259
SBK1	25	38	43	10	30	24
SBK2	1	0	0	0	0	0
SBK3	0	0	0	0	0	0
SBNO1	354	340	356	203	229	205
SBNO2	0	0	0	0	1	0
SBSN	0	0	0	0	0	0
SBSPON	0	0	0	0	0	0
SC5D	363	279	305	520	471	433
SCAF1	8	4	13	0	0	5
SCAF11	1113	845	938	1115	1036	1026
SCAF4	449	395	400	347	343	253
SCAF8	345	240	351	455	342	355
SCAI	141	87	129	113	126	83
SCAMP1	301	236	293	313	310	249
SCAMP2	554	397	337	455	418	397
SCAMP3	0	0	0	0	0	0
SCAMP4	45	27	46	25	34	30
SCAMP5	34	28	30	29	23	9
SCAND1	66	71	37	72	50	49
SCAP	103	93	66	116	101	116
SCAPER	273	266	326	361	258	306
SCARA3	69	59	59	41	27	43
