RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
ANHX	0	0	0	0	0	0
ANK1	18	6	2	24	4	8
ANK2	20	25	15	33	19	36
ANK3	193	188	175	208	257	258
ANKAR	47	44	37	16	18	37
ANKDD1A	5	6	0	2	3	3
ANKDD1B	2	0	0	3	3	0
ANKEF1	9	5	15	5	4	14
ANKFN1	0	0	0	0	0	0
ANKFY1	426	394	386	356	348	369
ANKH	742	603	691	918	698	845
ANKHD1	1185	952	1158	1450	1433	1416
ANKHD1-EIF4EBP3	136	100	117	72	55	47
ANKIB1	384	395	392	391	285	405
ANKK1	0	0	0	0	0	0
ANKLE1	13	15	10	3	0	12
ANKLE2	390	286	327	260	238	368
ANKMY1	40	40	76	26	78	75
ANKMY2	125	95	167	136	110	126
ANKRA2	54	59	50	59	39	59
ANKRD1	13	14	25	19	37	39
ANKRD10	1074	739	988	1069	983	909
ANKRD11	840	743	925	1137	1231	1056
ANKRD12	520	531	704	776	905	664
ANKRD13A	192	133	131	191	190	173
ANKRD13B	14	38	32	32	45	17
ANKRD13C	131	169	117	168	121	84
ANKRD13D	48	87	62	63	70	63
ANKRD16	182	116	132	93	83	63
ANKRD17	267	228	234	194	246	202
ANKRD18A	4	16	3	1	3	0
ANKRD18B	5	3	16	34	0	35
ANKRD2	0	0	0	0	0	1
ANKRD20A1	0	0	2	0	0	0
ANKRD20A2P	0	0	0	0	5	2
ANKRD20A3P	1	0	0	0	0	4
ANKRD20A4P	7	7	5	10	7	8
ANKRD22	0	0	0	0	0	0
ANKRD23	2	0	3	2	10	1
ANKRD24	0	0	0	0	0	2
ANKRD26	880	648	891	1142	1157	947
ANKRD27	271	189	204	256	265	168
ANKRD28	421	277	361	459	461	369
ANKRD29	61	42	29	46	50	37
ANKRD30A	0	0	0	0	0	0
ANKRD30B	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0
ANKRD31	61	28	38	35	36	54
ANKRD33	0	0	0	0	0	0
ANKRD33B	149	127	119	101	143	83
ANKRD34A	29	25	28	32	32	12
ANKRD34B	5	24	26	30	0	15
ANKRD34C	0	0	0	0	0	0
ANKRD35	0	0	0	0	0	0
ANKRD36	0	3	0	0	0	0
ANKRD36B	12	7	10	17	18	6
ANKRD36C	97	140	131	181	132	127
ANKRD37	6	8	9	33	37	27
ANKRD39	91	83	78	85	81	48
ANKRD40	521	409	390	426	425	437
ANKRD40CL	0	0	0	0	0	0
ANKRD42	65	57	102	107	64	31
ANKRD44	57	55	51	90	108	86
ANKRD45	0	0	0	0	7	0
ANKRD46	137	119	115	91	103	95
ANKRD49	153	99	104	156	111	126
ANKRD50	145	130	187	146	84	136
ANKRD52	156	140	130	121	102	131
ANKRD53	0	0	0	0	0	0
ANKRD54	158	108	134	119	78	95
ANKRD55	10	3	18	5	5	0
ANKRD6	149	95	140	149	139	149
ANKRD61	6	0	0	2	7	4
ANKRD62	0	0	0	0	0	3
ANKRD63	32	17	34	15	39	4
ANKRD65	0	0	0	4	0	0
