rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ACTR8	106	139	136	187	145	143	0.389744312876178	0.623063308934109	8253	0.209449007731205	0.243522379791218	141.757916055124	0.860081147000839
ACTRT1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACTRT2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACTRT3	9	4	12	14	25	6	0.379834167063241	1	8147	0.744335916987657	0.847568111946322	11.3875597512527	0.878201889023873
ACVR1	121	78	137	164	133	162	0.167446269448457	0.378835179487803	5452	0.361010363621784	0.261515287496074	131.099609033508	1.38045606082284
ACVR1B	437	374	438	394	508	354	0.562362166156668	0.763829977548656	10271	-0.0890859997553458	0.153772471336355	414.959022194575	-0.57933646368005
ACVR1C	20	37	34	18	41	18	0.520454690436368	0.732250539329254	9753	-0.357632115417204	0.556500554324135	28.1361122036384	-0.64264467059075
ACVR2A	96	93	117	160	114	124	0.286455271885477	0.525260789796248	6986	0.277332343731599	0.260178750382952	116.249541291857	1.06593003203912
ACVR2B	575	567	599	622	576	547	0.41162721148378	0.643316017834921	8507	-0.0958882921417126	0.116789750019228	578.520595731053	-0.821033456497044
ACVRL1	11	19	14	1	0	13	0.117131954590248	1	4722	-1.7094072405781	1.09093031670017	9.99404748257925	-1.56692614955343
ACY1	173	207	167	187	134	228	0.716348637016415	0.860626214233682	12106	-0.0884802144334107	0.24351701241682	182.827757475328	-0.363343051704175
ACY3	0	0	0	0	0	1	0.832014989074624	1	13446.5	0.865541679578049	4.0804728567969	0.169596386571733	0.212117984839993
ACYP1	342	310	436	356	317	350	0.27105106357048	0.507495000286035	6807	-0.185583750008472	0.168613585820554	351.098799074444	-1.10064529560494
