rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SNRK,60,58,52,67,117,75,0.0804692272436768,0.3524275249916,2508.0,0.694522088360128,0.397330674797675,70.4248503351922,1.74796997164588,0,6.13801268751802,ns
SNRNP200,267,151,217,145,156,124,0.128965565727232,0.451913931939316,3231.0,-0.414003585602476,0.272694831567419,170.882502682952,-1.51819373775011,0,7.416860871254144,ns
SNRNP25,314,143,309,191,139,187,0.244765443612145,0.59876708771937,4821.0,-0.351187444673859,0.301925855745484,206.872430332319,-1.1631579011567,0,7.692597581356962,ns
SNRNP27,279,168,311,139,203,200,0.178189407709254,0.525243215112259,3920.0,-0.334208494953493,0.248232847790789,207.90478411132,-1.34635080702601,0,7.699779146308018,ns
SNRNP35,115,103,118,69,124,104,0.812879850115784,0.945140373774924,11793.0,-0.0773344783900397,0.326702155317646,102.619564377667,-0.236712483010248,0,6.681161996157156,ns
SNRNP40,125,101,133,159,148,88,0.382541581484506,0.728522197092702,6483.0,0.297811488676362,0.341048637260792,124.849405865389,0.873222925235244,0,6.964045145545484,ns
SNRNP48,725,700,804,524,704,568,0.226773451767209,0.581521901197248,4576.0,-0.196037674683799,0.162187229198074,657.102950730573,-1.20871215109288,0,9.359975610356955,ns
SNRNP70,379,172,376,217,246,195,0.225770041576859,0.579870016981874,4566.0,-0.31040107196168,0.256248750084901,253.266387963578,-1.21132716494749,0,7.984511813465881,ns
SNRPA,604,404,507,713,783,674,7.41733866066712e-05,0.0027115113209145,266.0,0.67115103789158,0.169376258627574,609.065432534495,3.96248590758704,0,9.250453416464863,up
SNRPA1,926,882,967,880,953,958,0.384107104844682,0.729108590324717,6503.0,0.13937999519778,0.160141772990857,919.110960469372,0.870353765883049,0,9.844095232415784,ns
SNRPB,3317,1458,2611,2492,1708,1913,0.898843041827174,0.974172965397157,12834.0,-0.0466394201824559,0.366884178514719,2202.36342359051,-0.127123007514986,0,11.104836839917622,ns
SNRPB2,615,581,552,403,676,612,0.805561893972827,0.943246449568422,11711.0,0.0458188052602952,0.186137677314534,561.651442539203,0.246155458267973,0,9.133531270177382,ns
SNRPC,692,642,650,562,631,536,0.684124526872921,0.897220203887923,10256.0,-0.0723030707290863,0.177718104921101,611.027843500628,-0.406841333139276,0,9.255094312478354,ns
SNRPD1,1980,1775,2074,935,1891,1600,0.0467269427474108,0.264631794569495,1896.0,-0.306932947025206,0.15433329761569,1653.63660189127,-1.98876685567563,0,10.691426511764147,ns
SNRPD2,2372,1542,2323,1002,1140,978,2.25390399011463e-10,2.92226165331663e-08,75.0,-0.841377706457462,0.132647464950965,1497.97861424977,-6.34296107180403,0,10.548801312106256,down
SNRPD3,1422,1059,1426,994,1451,1057,0.808531375803426,0.944220327375973,11744.0,-0.0305123619705327,0.125917073052174,1200.51315492972,-0.242321086655896,0,10.229435497016663,ns
SNRPE,3325,3037,2941,1804,2905,2147,0.0101928974608267,0.106920965381962,976.0,-0.344873000111244,0.134232790578388,2625.97939027593,-2.56921575291134,0,11.35863987809647,ns
SNRPF,1039,881,938,608,1148,794,0.653075163079801,0.885581214027051,9881.0,-0.0723047093179249,0.160857922212345,875.133315695005,-0.449494238912755,0,9.773359000138516,ns
SNRPG,202,237,242,96,187,160,0.0548786233500229,0.288075836961653,2055.0,-0.543238236978252,0.282960757539292,182.482342227553,-1.91983595782824,0,7.511613059174355,ns
SNTA1,34,29,29,46,13,18,0.971822822799066,0.994057087545926,13623.0,-0.0246447619527006,0.69771314454617,28.8309330088904,-0.035322198163159,0,4.84954562008366,ns
SNTB1,43,64,55,17,71,68,0.954597119679116,0.988341396056189,13452.0,-0.030884047491551,0.542445718755397,51.5783281705113,-0.0569348165608389,0,5.688693106106739,ns
SNTB2,510,284,583,191,352,293,0.0091920365783848,0.0991930138880906,942.0,-0.5797916910834,0.222583475624556,349.593744110414,-2.60482809631999,0,8.449535558189796,ns
SNU13,2246,1207,2173,1342,1143,1202,0.0208653806892561,0.163757031333597,1333.0,-0.412566574675484,0.178568435602625,1502.90641196813,-2.31041154212486,0,10.553539458125755,ns
